Applicant_ID,Age,Education_Level,Years_with_Current_Employer,Years_at_Current_Address,Household_Income_(Thousands_NIS),Debt_to_Income_Ratio_(%),Credit_Card_Debt_(Thousands_NIS),Other_Debt_(Thousands_NIS),y
116,28,high school,0,8,210,4.7,3,1,0
117,39,high school,10,26,139,5.9,3,18,0
118,39,high school,22,12,443,2.9,3,31,0
119,31,high school,6,6,225,14.6,1,5,0
120,30,university,11,17,158,3.6,5,11,0
121,34,graduate professional education,0,23,225,4.1,3,1,0
122,30,high school,6,3,270,10.9,0,21,0
123,34,high school,6,8,165,4.4,2,7,0
124,39,high school,22,3,79,9.4,3,5,0
125,45,high school,9,8,165,7.8,0,10,0
126,20,university,2,3,105,1.6,12,12,0
127,38,university,8,7,143,2.2,10,2,0
128,48,high school,6,0,282,15.4,5,4,0
129,33,university,4,20,169,6.7,1,16,0
130,38,high school,11,25,135,5,1,16,0
131,41,high school,1,4,120,2.4,9,6,0
132,27,high school,22,9,116,7.8,7,6,0
133,43,high school,18,22,94,6.2,10,4,0
134,47,university,14,2,83,6.2,6,29,0
135,21,high school,0,1,79,4.2,0,3,0
136,41,high school,8,1,98,7.6,2,24,0
137,27,high school,18,16,162,6.1,4,3,0
138,30,high school,11,1,135,13,3,16,0
139,45,university,7,16,210,14.4,2,4,0
140,43,graduate professional education,9,1,135,5.8,36,48,0
141,27,0,16,9,909,7.3,6,1,0
142,42,high school,15,26,135,13,1,4,0
143,39,university,7,15,128,4.3,1,3,0
144,48,high school,21,6,255,18.6,4,37,0
145,31,high school,16,3,270,19.2,7,4,0
146,39,graduate professional education,4,4,210,5.5,1,3,0
147,30,high school,7,2,75,2.4,1,6,0
148,39,university,4,1,94,26,0,19,0
149,28,high school,4,4,274,0,2,2,0
150,41,high school,5,5,79,6.2,17,23,0
151,25,0,11,7,109,2.7,6,11,0
152,31,high school,2,8,165,7.1,3,1,0
153,39,high school,0,1,150,4.9,2,4,0
154,32,high school,14,3,83,1,3,4,0
155,47,high school,4,2,98,0.6,0,1,0
156,27,high school,10,6,60,7.6,8,4,0
157,39,high school,4,19,293,7.9,1,20,0
158,31,high school,8,17,297,5.6,3,3,0
159,30,high school,0,11,79,5.6,2,8,0
160,36,high school,20,1,75,8.7,15,29,0
161,30,university,14,8,143,3.8,3,18,0
162,50,high school,25,23,252,7.2,3,5,0
163,36,high school,9,5,86,9.6,16,7,0
164,27,university,9,8,120,12,1,1,0
165,40,graduate professional education,6,14,94,8.7,5,9,0
166,43,university,9,2,597,23.9,4,2,0
167,39,high school,21,1,210,18.8,0,27,0
168,51,university,11,2,60,22.8,1,11,0
169,36,high school,0,16,139,1.6,7,4,0
170,34,high school,3,9,376,3.1,3,1,0
171,40,graduate professional education,1,7,135,4.9,3,10,0
172,37,high school,4,21,240,6.7,3,10,0
173,39,high school,10,9,109,22.9,6,13,0
174,38,high school,6,6,56,14.4,0,19,0
175,27,high school,3,7,222,4.8,26,5,0
176,40,high school,0,0,135,9.1,2,10,0
177,38,graduate professional education,20,8,150,30.6,7,31,0
178,39,university,3,4,94,4.9,8,6,0
179,40,high school,3,7,56,7.9,2,48,0
180,41,0,16,19,116,2.6,2,4,0
181,48,high school,15,6,192,11.8,2,5,0
182,29,high school,15,6,90,10.6,0,2,0
183,34,high school,13,11,71,1.8,7,4,0
184,30,high school,0,2,203,4.7,8,2,0
185,48,high school,16,8,64,10,18,3,0
186,39,high school,8,6,90,7.6,3,8,0
187,25,0,14,0,135,17.5,4,7,0
188,29,high school,11,12,101,3,4,7,0
189,41,graduate professional education,9,2,68,7.6,6,13,0
190,39,high school,12,3,94,12.2,2,11,0
191,36,high school,1,10,94,5.8,12,15,0
192,35,high school,19,2,86,7.1,2,4,0
193,39,high school,4,9,545,11.1,1,10,0
194,27,university,15,9,79,10.8,10,3,0
195,21,university,16,2,282,6.2,2,4,0
196,29,high school,17,1,113,1.8,10,19,0
197,26,high school,19,22,240,5.4,1,11,0
198,29,high school,21,8,56,13,4,6,0
199,25,high school,23,7,109,12.1,2,5,0
200,28,high school,9,1,210,1.3,1,3,0
201,28,high school,13,13,116,11.8,1,5,0
202,31,high school,8,10,83,11.6,18,12,0
203,44,high school,16,27,135,2.1,4,11,0
204,26,high school,7,6,83,18.6,4,3,0
205,33,high school,3,1,240,4.2,6,19,0
206,32,high school,12,14,94,12.1,1,5,0
207,33,high school,13,22,203,1.7,3,13,0
208,27,university,0,12,131,7.8,5,7,0
209,34,university,17,16,109,15.7,7,38,0
210,45,university,0,10,105,10,10,9,0
211,29,high school,14,10,83,2.6,2,18,0
212,40,graduate professional education,11,6,128,0.7,3,2,0
213,21,university,18,9,376,10.8,5,5,0
214,26,high school,0,4,86,9.4,6,2,0
215,39,high school,19,6,60,5.1,5,6,0
216,31,high school,13,10,116,4.1,4,4,0
217,26,university,8,16,60,10.9,2,9,0
218,31,high school,12,1,116,3.8,37,2,0
219,27,university,4,1,376,3.2,4,27,0
220,26,high school,4,10,267,15.2,6,9,0
221,33,high school,7,0,229,10.9,4,11,0
222,24,high school,13,4,105,10.1,3,28,0
223,46,graduate professional education,3,1,116,5.9,6,9,0
224,33,graduate professional education,13,12,165,10.8,2,37,0
225,35,graduate professional education,22,8,98,4.5,1,8,0
226,43,high school,13,7,376,2.4,7,7,0
227,41,high school,22,1,259,4.7,0,3,0
228,39,graduate professional education,7,21,124,19,1,5,0
229,26,university,9,9,98,6.1,0,10,0
230,36,high school,10,6,128,9.5,2,11,0
231,35,high school,15,16,154,23.9,3,4,0
232,50,high school,16,4,372,6.3,3,7,0
233,28,university,4,9,124,21.4,12,6,0
234,46,high school,1,0,105,13.3,1,16,0
235,36,high school,23,0,199,21,1,47,0
236,27,high school,4,16,177,7.8,1,8,0
237,48,0,10,1,180,3.1,6,16,0
238,38,high school,5,19,297,13.2,10,9,0
239,40,high school,12,9,225,12,1,15,0
240,45,high school,22,3,105,24.1,2,6,0
241,46,university,8,12,128,9.4,4,27,0
242,40,university,0,3,342,6.1,15,21,0
243,39,high school,8,2,165,0,6,2,0
244,43,high school,25,2,83,15.6,17,7,0
245,54,university,8,9,94,5.3,11,7,0
246,29,high school,6,7,68,18.8,3,23,0
247,39,university,15,5,83,5.9,0,2,0
248,32,university,15,14,124,14.5,5,38,0
249,37,high school,27,10,98,24.1,0,3,0
250,24,high school,8,8,165,1.8,19,18,0
251,32,high school,4,0,94,12.8,1,13,0
252,30,high school,13,3,71,13,3,8,0
253,31,high school,3,1,83,8.2,1,6,0
254,38,high school,5,19,94,2.8,0,11,0
255,39,high school,7,31,199,17.6,4,5,0
256,44,university,8,11,79,18.7,0,4,0
257,48,high school,13,4,98,10.6,4,19,0
258,41,high school,1,7,146,12.1,8,5,0
259,35,graduate professional education,11,2,83,2.3,9,3,0
260,29,high school,15,14,300,9,2,4,0
261,45,graduate professional education,5,10,79,6.6,1,4,0
262,37,high school,4,9,68,5.2,10,28,0
263,39,university,8,0,146,19.1,8,4,0
264,29,graduate professional education,5,7,270,1.8,3,11,0
265,38,high school,3,0,98,6.7,2,23,0
266,35,high school,22,1,79,19.1,3,12,0
267,44,graduate professional education,0,2,244,18.8,8,31,0
268,32,high school,14,16,252,11.7,8,2,0
269,29,university,4,11,165,2.9,0,23,0
270,55,high school,6,6,83,5.9,1,18,0
271,33,high school,7,1,68,3.7,6,4,0
272,31,high school,6,16,169,30.3,1,1,0
273,29,high school,7,2,146,11.7,1,4,0
274,26,graduate professional education,3,3,308,4.7,3,11,0
275,27,high school,13,2,225,6.3,8,6,0
276,48,high school,2,10,192,6.7,1,7,0
277,49,university,6,4,64,5.5,17,1,0
278,27,high school,5,13,225,24.8,1,5,0
279,41,high school,15,13,101,2.6,2,14,0
280,48,high school,8,12,282,1.2,5,16,0
281,40,high school,6,13,98,2.6,3,12,0
282,33,university,2,12,94,18.2,10,6,0
283,28,high school,17,23,120,14.4,7,2,0
284,33,high school,13,7,252,10.2,3,2,0
285,31,university,0,6,158,11.1,3,4,0
286,38,high school,16,6,75,6.7,1,15,0
287,24,university,6,22,128,8.2,1,2,0
288,32,university,9,19,229,21.4,2,2,0
289,39,university,4,12,60,9.6,10,2,0
290,35,0,10,21,124,16.5,2,8,0
291,34,graduate professional education,4,1,75,5.6,6,5,0
292,32,high school,0,8,154,19.1,0,9,0
293,29,high school,7,13,282,9.8,0,4,0
294,29,high school,13,1,90,2.5,4,8,0
295,28,graduate professional education,10,11,240,3.2,2,2,0
296,35,high school,12,15,79,10.3,3,1,0
297,35,high school,16,6,79,7.8,1,6,0
298,41,high school,20,6,214,9.8,3,1,0
299,29,high school,18,6,146,5.6,5,16,0
300,42,university,4,10,79,7,1,6,0
301,26,graduate professional education,7,26,113,5.1,2,12,0
302,36,high school,7,9,53,11,1,13,0
303,45,high school,7,7,94,4.9,8,12,0
304,39,high school,0,4,244,5.2,4,16,0
305,27,university,14,26,120,3,2,35,0
306,37,high school,24,3,124,6.1,5,15,0
307,44,university,3,3,75,9.1,1,3,0
308,46,university,8,4,237,3.2,5,4,0
309,21,high school,5,6,68,5.3,1,4,0
310,29,0,16,13,94,6.2,4,8,0
311,35,high school,0,0,109,5.3,10,13,0
312,30,graduate professional education,3,1,169,17.2,7,3,0
313,37,university,3,19,86,11.1,8,2,0
314,40,high school,6,1,507,8.2,4,3,0
315,52,graduate professional education,2,11,116,2.2,2,4,0
316,45,high school,12,7,98,4.4,7,7,0
317,40,university,13,2,376,9.6,4,13,0
318,44,university,13,19,131,3.8,9,3,0
319,47,high school,7,3,83,7.1,18,4,0
320,36,0,10,4,116,6.9,2,3,0
321,39,high school,13,2,150,5.9,2,22,0
322,32,university,14,9,150,9.6,2,14,0
323,50,university,4,9,124,3.1,1,1,0
324,33,university,12,1,225,5.8,4,4,0
325,31,high school,9,10,68,15.3,2,2,0
326,28,high school,0,25,128,4.7,5,6,0
327,31,university,6,9,424,8.3,4,6,0
328,27,university,0,4,105,7.8,6,22,0
329,46,graduate professional education,16,9,128,8.2,2,5,0
330,56,high school,16,1,109,10,1,23,0
331,50,high school,2,3,146,6.7,1,32,0
332,26,university,6,24,128,5,1,5,0
333,40,university,22,1,120,5.1,1,18,0
334,44,high school,5,24,274,1,0,21,0
335,28,university,5,16,192,3.2,7,3,0
336,33,0,3,7,139,3.8,4,3,0
337,39,high school,11,3,131,15.6,0,11,0
338,38,high school,4,0,128,6.3,5,1,0
339,44,university,11,6,131,4.1,3,16,0
340,45,high school,9,19,146,2.3,4,1,0
341,29,0,18,3,53,9.4,1,7,0
342,32,high school,11,14,169,19.1,2,2,0
343,47,university,23,3,255,7.7,3,37,0
344,45,0,6,16,158,1.8,3,4,0
345,31,university,4,1,128,9.6,2,12,0
346,34,high school,0,1,124,4.9,6,9,0
347,36,university,8,5,225,14.4,2,15,0
348,29,high school,19,0,98,10.6,12,6,0
349,30,university,12,1,105,5.1,2,9,0
350,43,high school,9,4,128,4.3,1,7,0
351,31,high school,7,2,274,9.6,6,37,0
352,24,high school,18,21,83,9.4,1,3,0
353,47,high school,10,0,210,0,4,4,0
354,31,high school,21,11,135,8.9,2,15,0
355,40,graduate professional education,9,8,86,2.3,1,10,0
356,43,high school,4,2,192,13.3,14,5,0
357,43,graduate professional education,0,0,60,2.2,0,5,0
358,36,high school,13,5,113,7.1,13,9,0
359,39,university,3,16,94,16.3,8,7,0
360,40,0,11,1,210,7.8,1,7,0
361,51,graduate professional education,10,1,165,4.1,8,5,0
362,39,university,9,4,124,6.7,1,36,0
363,39,high school,10,1,86,5.3,3,23,0
364,42,high school,12,16,278,4.3,1,4,0
365,24,university,3,3,101,4,6,8,0
366,28,high school,18,11,124,4.2,0,11,0
367,28,graduate professional education,14,7,270,5.3,2,7,0
368,41,university,3,4,210,13.8,6,2,0
369,26,0,1,15,165,5,1,2,0
370,51,high school,5,10,436,5.3,3,1,0
371,46,high school,9,0,105,7.9,2,7,0
372,33,0,12,10,240,12.9,3,4,0
373,39,high school,16,6,79,9.5,1,7,0
374,45,high school,6,3,98,5,1,6,0
375,35,high school,18,13,451,1.2,12,4,0
376,27,high school,21,6,165,6.2,0,5,0
377,46,high school,0,11,79,1.9,0,3,0
378,37,university,12,1,274,5.2,2,23,0
379,26,high school,9,10,135,14.4,1,7,0
380,24,high school,0,3,56,6.2,2,6,0
381,25,university,14,27,113,17.5,6,6,0
382,32,high school,19,6,79,15.2,6,36,0
383,41,graduate professional education,11,7,225,21.4,1,48,0
384,45,university,20,6,180,7.6,1,3,0
385,31,high school,6,17,90,2.2,8,29,0
386,31,0,4,7,210,4.4,3,1,0
387,40,0,18,14,210,5.8,2,18,0
388,39,high school,13,12,98,13.3,1,9,0
389,46,graduate professional education,1,0,79,3.1,7,5,0
390,25,university,13,0,64,3.5,6,47,0
391,41,university,12,11,94,13.3,1,2,0
392,48,high school,22,5,255,10.1,1,3,0
393,49,university,7,11,143,1.2,1,3,0
394,38,university,17,8,297,11.7,3,7,0
395,42,graduate professional education,18,1,162,14.4,1,9,0
396,32,high school,10,2,90,4.2,0,11,0
397,46,graduate professional education,16,23,188,14.9,1,8,0
398,30,high school,3,6,158,5.1,5,2,0
399,40,graduate professional education,2,4,158,19.2,1,8,0
400,34,high school,17,3,109,17.2,2,4,0
401,43,high school,23,2,424,18.6,1,8,0
402,41,high school,7,10,188,3.5,2,8,0
403,43,high school,3,7,255,4.2,3,31,0
404,36,university,5,3,98,1.8,20,18,0
405,30,graduate professional education,5,7,541,24.2,8,22,0
406,22,high school,6,10,113,6.7,1,10,0
407,51,high school,10,5,169,16.5,5,12,0
408,47,university,9,1,94,9,4,4,0
409,34,university,12,4,113,6.7,3,5,0
410,34,high school,0,19,83,7.9,12,5,0
411,43,high school,16,10,169,17,8,15,0
412,46,high school,14,9,270,5.5,3,15,0
413,38,high school,17,13,101,10.2,2,9,0
414,22,high school,10,3,244,13.3,5,29,0
415,46,university,15,15,75,7.6,8,4,0
416,35,high school,12,7,71,3.6,0,10,0
417,34,university,16,4,90,4.4,0,2,0
418,31,high school,6,7,180,12.8,4,34,0
419,38,high school,2,8,150,9.6,0,4,0
420,44,high school,1,3,116,13.3,2,19,0
421,39,high school,18,18,154,4.4,5,8,0
422,39,graduate professional education,23,1,424,11.6,2,31,0
423,45,university,20,14,86,19.1,0,2,0
424,41,university,9,16,128,7,6,6,0
425,42,0,8,9,53,4.2,36,10,0
426,35,university,17,16,68,7.6,2,11,0
427,51,high school,16,9,94,10.2,5,13,0
428,28,high school,16,8,150,7.8,10,4,0
429,29,high school,1,5,139,5.8,5,6,0
430,26,graduate professional education,12,19,90,1.8,10,5,0
431,25,university,7,27,165,13,2,5,0
432,33,high school,22,4,128,0,3,8,0
433,41,high school,14,7,293,3.7,7,7,0
434,24,graduate professional education,7,1,101,9.4,3,1,0
435,26,high school,11,21,79,5,4,27,0
436,40,high school,15,1,75,3.2,2,7,0
437,37,0,8,0,210,5.2,0,8,0
438,33,university,5,1,120,22.8,2,2,0
439,42,high school,6,21,225,13,7,8,0
440,36,high school,7,5,64,14.3,2,8,0
441,35,high school,12,10,86,14.9,7,14,0
442,40,high school,0,0,162,2.1,4,11,0
443,27,high school,16,3,94,2.9,1,7,0
444,50,university,8,10,308,6.2,8,8,0
445,41,high school,19,14,188,6.8,0,16,0
446,32,high school,1,20,135,22.9,1,4,0
447,31,0,0,8,143,1.7,3,1,0
448,43,high school,13,10,83,9.4,3,19,0
449,35,university,3,26,60,6.2,2,15,0
450,42,high school,8,12,177,5,12,15,0
451,24,university,2,4,158,6,6,22,0
452,45,high school,6,7,116,18.8,0,5,0
453,40,high school,5,8,68,13,8,1,0
454,21,graduate professional education,9,10,597,3.2,1,4,0
455,28,university,21,5,60,18.8,0,20,0
456,31,university,4,6,214,19.9,0,4,0
457,32,high school,22,1,285,6.1,5,8,0
458,29,high school,13,5,128,8.6,0,5,0
459,45,0,5,24,143,9.7,1,6,0
460,34,high school,12,6,98,5.8,4,1,0
461,34,high school,5,0,113,13.8,17,7,0
462,34,university,8,0,154,3,3,4,0
463,37,high school,17,0,225,10.9,0,4,0
464,26,high school,14,6,83,7,6,16,0
465,28,graduate professional education,16,7,60,4.5,3,3,0
466,27,high school,0,27,146,12.2,6,3,0
467,39,graduate professional education,6,22,124,4.2,6,4,0
468,29,graduate professional education,6,12,94,7.3,4,5,0
469,27,university,4,13,195,10.6,5,13,0
470,39,high school,19,20,86,9.4,1,4,0
471,33,high school,6,9,210,13.3,2,8,0
472,30,high school,16,1,64,0.7,3,2,0
473,49,high school,0,2,98,7.6,1,23,0
474,29,high school,12,18,165,5,2,20,0
475,44,high school,0,15,207,3.2,2,16,0
476,38,high school,19,5,120,23.9,6,7,0
477,21,high school,2,1,124,12.8,2,8,0
478,24,high school,3,20,214,7.8,2,8,0
479,34,0,9,13,86,4.4,4,3,0
480,27,graduate professional education,7,1,150,5.5,7,8,0
481,32,high school,18,7,158,1.7,1,3,0
482,34,university,11,10,173,7.6,0,3,0
483,39,graduate professional education,10,24,105,2.1,1,8,0
484,41,high school,9,7,282,24.8,6,8,0
485,48,high school,22,0,128,2.7,2,6,0
486,30,high school,10,17,86,18.7,5,2,0
487,27,high school,8,10,165,9.6,0,9,0
488,25,university,10,5,184,1.9,2,45,0
489,39,high school,14,14,94,12,10,37,0
490,36,high school,18,10,120,1.7,1,8,0
491,29,high school,8,8,94,8.8,10,7,0
492,26,high school,4,20,71,7.3,0,22,0
493,35,high school,7,15,203,7.1,3,4,0
494,40,high school,14,1,169,4.8,2,2,0
495,42,graduate professional education,14,23,116,12.3,2,3,0
496,25,high school,16,2,139,2.3,3,3,0
497,32,university,0,27,124,8.9,2,4,0
498,32,university,18,8,68,2.3,1,45,0
499,46,high school,1,0,124,1.8,2,18,0
500,36,high school,4,2,53,7.6,6,16,0
501,37,high school,7,7,146,8.8,17,9,0
502,39,university,12,0,267,12.2,14,2,0
503,26,0,18,4,79,7.7,1,11,0
504,41,university,6,15,86,6.3,2,21,0
505,35,university,25,2,124,11.6,4,8,0
506,25,high school,0,4,162,5.1,6,4,0
507,31,high school,3,8,192,19,3,3,0
508,26,high school,21,2,120,13,4,9,0
509,28,high school,24,9,83,5.9,2,11,0
510,28,high school,11,14,120,23.9,8,2,0
511,37,university,10,12,623,6.7,2,27,0
512,40,high school,10,11,203,9.6,0,4,0
513,31,university,8,1,225,20.8,2,13,0
514,38,university,11,11,267,9.1,0,4,0
515,52,graduate professional education,12,3,64,5.9,7,4,0
516,34,high school,8,9,116,7.7,10,13,0
517,33,high school,4,4,162,1.6,3,5,0
518,41,high school,15,3,75,20.4,2,13,0
519,48,high school,7,5,177,7.7,1,2,0
520,39,high school,7,6,240,5.1,1,15,0
521,37,high school,18,5,71,9,1,10,0
522,28,high school,0,8,545,12.2,4,8,0
523,38,high school,11,10,113,2.2,13,31,0
524,42,university,12,8,162,11.3,2,3,0
525,39,high school,12,9,146,4.7,4,5,0
526,32,university,3,19,79,6.3,3,9,0
527,36,high school,16,0,83,14.9,14,5,0
528,26,high school,9,11,139,9.4,8,11,0
529,33,university,3,6,68,20,1,12,0
530,29,university,8,5,192,1.5,3,45,0
531,38,high school,23,17,79,8.2,6,18,0
532,25,graduate professional education,11,1,285,3.6,2,29,0
533,35,high school,22,0,282,3.2,6,5,0
534,28,graduate professional education,10,14,203,12.8,1,2,0
535,30,high school,11,14,252,10.2,0,16,0
536,26,high school,6,6,124,26,1,3,0
537,29,university,3,22,451,5.9,3,1,0
538,31,high school,0,6,274,6.7,0,7,0
539,34,university,11,6,334,21,7,10,0
540,48,high school,4,4,165,4.2,10,2,0
541,41,high school,0,1,158,8.9,9,3,0
542,35,high school,17,2,158,5.3,10,3,0
543,47,university,11,11,597,1.9,4,36,0
544,36,high school,6,8,376,1.9,3,5,0
545,30,high school,5,3,451,3.1,10,6,0
546,27,high school,11,4,105,2.3,0,7,0
547,26,high school,15,0,158,12.1,0,3,0
548,20,university,0,5,98,9.4,0,7,0
549,29,high school,18,1,282,8.1,4,21,0
550,32,graduate professional education,10,4,101,8.5,0,9,0
551,30,university,2,7,83,15.4,3,9,0
552,48,graduate professional education,12,1,225,3.6,0,4,0
553,50,university,6,3,83,3,1,3,0
554,34,university,16,11,177,6.1,4,5,0
555,36,high school,12,9,90,5.7,3,13,0
556,42,high school,1,3,240,3.6,1,23,0
557,50,high school,11,7,124,12.5,9,2,0
558,36,high school,10,9,98,0.6,3,8,0
559,39,high school,9,9,101,13.3,7,1,0
560,39,university,0,31,146,7.6,4,6,0
561,27,high school,22,7,274,2.2,1,11,0
562,34,university,4,6,169,14.9,1,12,0
563,35,high school,6,2,195,11.3,6,3,0
564,46,high school,15,0,98,7.2,6,4,0
565,29,high school,16,16,436,3.4,3,5,0
566,50,high school,16,8,56,1.7,8,10,0
567,31,high school,17,9,131,6.2,4,10,0
568,42,graduate professional education,1,17,109,21,2,0,0
569,32,high school,25,0,229,7.3,1,3,0
570,21,high school,8,13,94,9.9,1,8,0
571,38,high school,3,12,665,4.6,2,18,0
572,41,high school,26,10,124,3.3,8,13,0
573,32,high school,10,11,210,6.3,0,4,0
574,39,high school,4,9,240,26,1,7,0
575,40,high school,7,2,56,13.2,5,10,0
576,38,high school,0,24,214,6.1,12,3,0
577,35,graduate professional education,5,25,357,3.2,1,7,0
578,33,graduate professional education,19,7,71,7.2,2,5,0
579,31,high school,8,10,120,5.3,3,8,0
580,38,university,16,7,150,18.8,9,32,0
581,30,university,2,4,199,10.2,3,7,0
582,45,high school,8,0,94,3.1,5,2,0
583,36,graduate professional education,0,15,222,7.3,12,2,0
584,41,high school,22,21,86,3.6,2,48,0
585,41,high school,8,2,372,5.7,3,2,0
586,40,high school,1,6,192,13.3,1,8,0
587,30,high school,2,13,131,1.9,8,3,0
588,29,high school,20,6,225,5.6,10,5,0
589,48,university,3,22,105,11.7,3,0,0
590,34,high school,1,10,240,10.2,3,7,0
591,37,high school,5,3,165,10.8,12,45,0
592,25,high school,5,16,90,10.1,3,4,0
593,33,high school,8,13,116,7.1,7,15,0
594,28,university,16,14,590,0.7,1,5,0
595,39,high school,15,0,162,12.8,2,4,0
596,38,university,16,3,116,15.1,4,4,0
597,38,high school,17,2,334,5.6,8,31,0
598,31,high school,11,4,64,12.8,5,5,0
599,42,graduate professional education,20,13,135,6.7,2,20,0
